Date,GNDVI_Mean,GNDVI_Stdev,NDVI_Mean,NDVI_Stdev
2023/1/17,0.6021789,0.06189728,0.6618392,0.09861676
2023/1/21,0.607133,0.0712155,0.71095186,0.110374495
2023/1/22,0.45238355,0.076785624,0.5528079,0.09661131
2023/1/24,0.6018646,0.077719845,0.7032273,0.11689176
2023/1/30,0.57224715,0.061959766,0.66006666,0.105767764
2023/2/8,0.5524833,0.058323875,0.632168,0.095019706
2023/2/14,0.5305261,0.057353243,0.61130774,0.09135071
2023/3/11,0.5260694,0.17890598,0.598785,0.21387348
2023/4/4,0.74152035,0.08420732,0.8129037,0.11292312
2023/4/16,0.76045066,0.06198834,0.83686846,0.07505924
2023/4/19,0.7562141,0.055570807,0.8326444,0.06615298
2023/4/20,0.7719712,0.06154373,0.85971117,0.06842841
2023/5/20,0.77127093,0.030526137,0.86376125,0.03215286
2023/5/21,0.7902401,0.031344987,0.86830646,0.033532683
2023/5/27,0.7789081,0.02901343,0.8680162,0.032399334
2023/6/3,0.7591235,0.029472088,0.85501766,0.036458045
2023/6/10,0.6816849,0.029566271,0.7903701,0.035281423
2023/6/13,0.64817536,0.033015925,0.73176455,0.04873544
2023/6/14,0.6482847,0.033767954,0.7249374,0.052925434
2023/7/7,0.5082402,0.10340238,0.36630172,0.088986315
2023/8/10,0.38899323,0.05807452,0.2834336,0.0797637
2023/9/15,0.5133517,0.059317477,0.524058,0.10785286
2023/10/22,0.6116809,0.10338611,0.6450338,0.18208227
2023/11/15,0.578038,0.1172144,0.58014274,0.19562516
2023/11/29,0.5467904,0.11333214,0.55205286,0.18374172
2023/12/8,0.53636956,0.09962214,0.52398735,0.16876064
2023/12/31,0.54238915,0.08785933,0.487289,0.13969332
